Абсолютная идея;в философии Гегеля мысль, отражающая самое себя в процессе самопознания.
Абстрагирование;процесс мысленного отвлечения от ряда свойств и отношений предметов.
Агностицизм;философское учение, отрицающее принципиальную возможность познания человеком объективного мира.
Аксиология;раздел философского знания, в котором рассматриваются вопросы, касающиеся природы ценностей и их места в жизни человека.
Альтруизм;этическое учение, которое утверждает сострадание к другим людям и готовность к самоотречению во имя их блага и счастья.
Аналогия;процесс переноса знания, полученного из рассмотрения одного объекта, на менее изученный, но сходный с ним в существенных признаках другой объект.
Анализ;метод исследования, состоящий в мысленном или практическом расчленении предметов, свойств предметов или отношений между предметами на составляющие их элементы, каждый из которых затем изучается в отдельности.
Анимизм;религиозное представление первобытного человека о духах и душе, которые управляют материальным миром.
Антиклерикализм;резко критическое отношение к служителям церкви.
Антиномии;утверждения, которые взаимно исключают друг друга и в то же время одинаково доказуемы как истинные.
Антисциентизм;концепция, которая подвергает критике науку и технику, полагая их чуждыми подлинной сущности человека и разрушающими культуру.
Антропогенез;происхождение человека.
Апатия;путь к обретению добродетели, состоящий в победе разума над страстями; бесстрастие, свобода от аффектов.
Артефакты;искусственно созданные объекты
Архетип;некий «первобытный образ», в котором содержание коллективного бессознательного представлено в сознании ясно выраженными наклонностями и воззрениями.
Аскетизм;этическое учение, которое предписывает людям самоотречение, отказ от мирских благ и наслаждений.
Бессознательное;совокупность психических явлений, состояний и действий, которая лежит вне сферы сознания и не поддается целенаправленному контролю и оценке, но оказывает влияние на поведение человека.
Бессознательное коллективное;разум наших предков, способ, которым они думали и чувствовали, способ, которым они постигали жизнь и мир богов и человеческое существование.
Бытие;существование вообще, совокупность всего существующего.
Вера;безусловное принятие тех или иных воззрений и идей.
Верификация;процесс установления истинности научных утверждений при помощи опыта, либо посредством логического доказательства на основе опыта.
Вероятность;числовая характеристика степени появления случайного события в интервале от нуля до единицы
Вид материи;относительно устойчивая совокупность определенных материальных образований, имеющих общую природу и представляющих определенную ступень в развитии материи от низшего к высшему.
Видимость;несоответствие сущности.
Власть;реальная способность индивида или определенной группы влиять на других людей, проявлять свою волю и реализовывать свои интересы.
Возможность;совокупность условий, предпосылок, причин появления нового, способность действительности порождать новое.
Возможность реальная;возможность, которая обусловлена необходимыми связями и отношениями действительности.
Возможность формальная;возможность, которая обусловлена случайными связями и отношениями действительности, и хотя не противоречит законам, но в данный момент или в ближайшей перспективе не может перейти в действительность.
Воля;совокупность психических действий, которые проявляются во всех ситуациях, связанных с выбором и принятием решения.
Волюнтаризм;учение, в котором абсолютизируется свобода воли и игнорируются реальные возможности.
Воображение;процесс создания нового в форме образа, представления или идеи.
Восприятие;процесс отражения в сознании человека непосредственно действующих на его органы чувств предметов и явлений действительности во всем многообразии их свойств и сторон.
Время;философская категория, выражающая длительность существования материальных объектов, определенную последовательность событий реальной действительности.
Гедонизм;этическое учение, которое смысл человеческой жизни видит в том, чтобы получать наслаждения.
Географическая среда;совокупность всех естественноисторических условий, в которых существует общество.
Гилозоизм;учение о всеобщей одушевленности мира.
Гипотеза;предположение о каких-то свойствах, сторонах, закономерностях действительности, которое нуждается в доказательстве.
Глобализация;процесс интеграции государств и народов в разных областях деятельности.
Глобальные проблемы;проблемы, которые затрагивают интересы всего человечества или значительной его части и угрожают существованию всего человечества как биологического вида.
Гносеология;раздел философии, в котором изучаются закономерности развития познания и его формы, возможность и границы познания, условия его достоверности и истинности.
Государство конфедеративное;союз нескольких государств для проведения совместной политики при их полной юридической и политической самостоятельности.
Государство правовое;государство, в котором и само государство, и все его социальные общности, и отдельный индивид уважают право и находятся в одинаковом к нему отношении.
Государство социальное;такая форма организации государственной власти, при которой осуществляется забота о благосостоянии граждан.
Государство унитарное;государство, для которого характерна абсолютная политическая неделимость и целостность.
Государство федеративное;добровольное образование единого союзного государства несколькими государственными образованиями при сохранении ими определенной политической и юридической самостоятельности.
Гражданское общество;такая сфера общественной жизни, в которой взаимодействуют свободные индивиды, реализующие частные интересы и осуществляющие индивидуальный выбор.
Грезы;беспредметные образы и представления, оторванные от жизни, но связанные с потребностями человека.
Гуманизм;учение, которое провозгласило человека высшей ценностью и основной целью общества и которое смысл жизни видит в служении другим людям.
Движение;изменение вообще.
Дедукция;метод, посредством которого новое знание о предметах выводится чисто логическим путем из уже имеющегося некоторого общего знания об исследуемых предметах.
Действительность;наличное, непосредственное бытие
Детерминизм;учение об универсальных причинных связях, господствующих в мире.
Детерминизм географический;учение, согласно которому географические условия определяют не только психологию, нравы, обычаи людей, но и строй общественной жизни, законы государства.
Детерминизм механистический;учение, которое все многообразие причин сводит лишь к механическим взаимодействиям.
Деятельность;способ отношения человека к внешнему миру, состоящий в преобразовании и подчинении его целям человека.
Деятельность инженерная;самостоятельный, специфический вид технической деятельности всех научных и практических работников, занятых в сфере материального производства.
Диалектика;общая теория развития; учение о тождестве противоположностей.
Диалектическое отрицание;всеобщая форма связи низшего с высшим, старого с новым, которая осуществляется путем уничтожения того, что уже не соответствует новым сложившимся условиям, и сохранения, переноса в новое образование всего положительного, соответствующего изменившимся условиям.
Длительность;категория, которая отражает факт возникновения каждого последующего момента за предыдущим.
Догматизм;игнорирование относительности истины и преувеличение в истине момента абсолютного
Дух абсолютный;в философии Гегеля вечно существующая, действительная истина.
Дух объективный; охватывает сферу социальной жизни как некой сверхъиндивидуальной целостности, проявляющейся через различные связи и отношения между отдельными людьми.
Дух субъективный; охватывает сферу индивидуального человеческого сознания.
Естественная среда;та часть природы, которая определяется познавательными и технологическими возможностями человека.
Заблуждение;знание, не соответствующее реальности, но принимаемое за истинное.
Закон;общая необходимая и устойчивая связь между объектами и явлениями или их сторонами.
Закон динамический;такая форма причинной связи, при которой начальное состояние системы однозначно определяет ее последующее состояние.
Закономерность статистическая;закономерность, характеризующая массу явлений как целое.
