немного;a little bit
покидать, оставлять, отказываться;abandon
сокращение;abbreviation
отклонение;aberration
ненавидеть, не выносить;abhor
оставаться верным, придерживаться;abide
способность, умение;ability
жалкий, униженный, несчастный;abject
способный к чему-либо;able
неправильность, ненормальность, аномалия;abnormality
на борту, на борт;aboard
отменять, упразднять, уничтожать;abolish
аборт;abortion
изобиловать, быть в большом количестве;abound
за границей;abroad
резкий, внезапный, крутой;abrupt
отсутствие;absence
отсутствующий;absent
поглощать, впитывать;absorb
воздерживаться;abstain
нелепый, глупый, смехотворный;absurd
избыток, изобилие;abundance
обильный, изобилующий;abundant
злоупотреблять/злоупотребление;abuse
бездна, пропасть, пучина;abyss
ускорять;accelerate
принимать или допускать;accept
приемлемый, желанный;acceptable
принятие, признание;acceptance
доступ;access
принадлежность, приспособление;accessory
случай, случайность;accident
случайный/случайность;accidental
приспосабливать, улаживать, согласовывать;accommodate
пристанище, ночлег;accommodation
сопровождать, сопутствовать;accompany
совершить, выполнить, довести до конца;accomplish
достижение, свершение;accomplishment
согласовывать, соответствовать/согласие, договорЮнность;accord
согласие, соответствие;accordance
в соответствии с;according
соответственно, таким образом;accordingly
мнение, оценка, рассмотрение/считать, рассматривать как;account
соответственный или объяснимый;accountable
бухгалтер;accountant
накапливать(ся);accumulate
точность;accuracy
точный;accurate
обвинение;accusation
обвинять, винить;accuse
приучать;accustom
болеть/боль;ache
достигать, добиваться;achieve
достижение;achievement
кислота/кислый, кислотный;acid
сознавать, допускать, подтверждать;acknowledge
знакомство или знакомый человек;acquaintance
приобретать;acquire
приобретение;acquisition
оправдывать, освобождать;acquit
через;across
дело, поступок/действовать, поступать;act
дело, действие;action
деятельный;active
деятельность;activity
актЮр;actor
актриса;actress
существующий, действительный;actual
фактически, на самом деле;actually
острый, сильный, пронзительный;acute
объявление, реклама;ad
приспосабливать(ся), переделывать;adapt
прибавлять,соединять;add
увлекаться (дурным)/наркоман;addict
привычка, пристрастие;addiction
добавление, сложение, примесь;addition
дополнительный;additional
обращаться/обращение, выступление;address
соответствующий, достаточный;adequate
приставать, прилипать, твЮрдо держаться;adhere
имя прилагательное;adjective
приводить в порядок, улаживать, приспосабливать;adjust
регулирование, приспособление;adjustment
восхитительный;admirable
восхищение;admiration
восхищаться, любоваться;admire
доступ;admission
допускать, признавать, соглашаться;admit
принимать, усваивать;adopt
принятие, признание;adoption
обожать, преклоняться;adore
украшать;adorn
взрослый;adult
супружеская измена;adultery
продвигаться вперЮд/продвижение, прогресс, улучшение;advance
продвижение;advancement
преимущество, выгода, польза;advantage
приключение, рискованное дело;adventure
безрассудный, предприимчивый, рисковый;adventurous
враждебный, неблагоприятный, вредный;adverse
бедствия, несчастья;adversity
рекламировать, помещать объявления;advertise
объявление, реклама;advertisement
совет, консультация;advice
советовать, консультировать;advise
совещательный, консультативный;advisory
выступать в защиту;advocate
дело, занятия;affair
влиять;affect
привязанность, любовь;affection
нежный, любящий;affectionate
утверждать, подтверждать;affirm
утвердительный;affirmative
беспокоить, тревожить, огорчать;afflict
позволить себе;afford
испуганный;afraid
заново;afresh
время после полудня;afternoon
впоследствии, позже;afterwards
против;against
век, эпоха;age
совокупность/совокупный;aggregate
стареющий;aging
соглашаться или договариваться;agree
приемлемый, приятный;agreeable
согласие или соглашение, договорЮнность;agreement
сельское хозяйство;agriculture
вперЮд, впереди/будущий;ahead
помощь, поддержка/помогать;aid
нездоровье;ailment
цель, намерение/целиться, стремиться;aim
воздух;air
самолЮт или авиация;aircraft
авиалиния;airline
самолЮт;airplane
сходный, близкий, похожий;akin
будильник, тревога/дать тревогу, встревожить;alarm
увы;alas
тревога/бдительный, настороженный/привести в состояние готовности;alert
иностранец/иностранный, чуждый;alien
сходить, высаживаться;alight
похожий, одинаковый/подобно, похоже;alike
алименты, содержание;alimony
живой, живущий, бодрый;alive
успокаивать (боль, волнение), ослаблять;allay
ссылаться, утверждать;allege
верность, лояльность;allegiance
союз, общность, объединение;alliance
позволять, допускать, признавать;allow
соединять/союзник;ally
всемогущий;almighty
почти, едва не;almost
один, одинокий, сам;alone
вперЮд, вдоль;along
рядом, бок о бок;alongside
вслух, громко;aloud
уже;already
изменять(ся), переделывать;alter
взаимоисключающий, переменный/выбор, альтернатива;alternative
несмотря на то, что;although
полностью, всецело;altogether
собирать, накапливать;amass
любитель, дилетант/любительский;amateur
поражать, изумлять;amaze
